question_id,question,option_A,option_B,option_C,option_D,correct_option,difficulty_level,category,topic,tags,difficulty_encoded
19,Which of these is a valid TypeScript type annotation?,let name: string;, let name = string;, var string name;,let: name string;,A,Medium,Language Specific,TypeScript,"typescript, types, javascript",2
20,What is the entry point of a C# application?,Start(),Run(), Main(), Launch(),C,Easy,Language Specific,C#,"csharp, main method",1
21,Which keyword defines a function in Python?,func, define,def, function,C,Easy,Language Specific, Python Basics," python, functions",1
22, What operator is used for concatenation in PHP?, +, ., &, ::,B,Easy,Language Specific,PHP," php, strings",1
23,What keyword is used to define a function in Go?,def,func, function, lambda,B,Easy,Language Specific,Golang,"golang, functions",1
24, Which HTML tag is used to define a hyperlink?, <link>, <a>, <href>, <url>,B,Easy,Web Development, HTML," html, hyperlink, anchor tag",1
25,Which annotation is used to create a REST controller in Spring Boot?, @Controller, @RestService, @RestController,@Service,C,Medium,Web Development, Spring Boot,"springboot, annotations",2
26,Which hook is used to manage state in functional React components?, useState,useEffect,useRef,useContext,A,Easy,Web Development, React," react, hooks",1
27,Which command creates a new Django project?, django startapp mysite,django-admin startproject mysite, python startproject mysite,startproject django mysite,B,Medium,Web Development, Django," django, project setup",2
28,Which method is the starting point of a Java application?,init(), run(), main(), start(),C,Easy,Language Specific,Java,"java, main method",1
29, What method is used to define a route in Express.js?, app.use(), app.get(),express.route(),app.route(),B,Easy,Web Development,Express.js," express, routing",1
30, Which keyword is used to handle exceptions in C#?, try-catch, handle, error,except,A,Easy,Language Specific, C#," csharp, exceptions",1
31, Which command runs a Flask application?, flask go, flask run, flask start, flask execute,B,Easy,Web Development, Flask,"flask, commands",1
32,What is the default file extension for TypeScript?,.ts,.js,.tsx,.tsc,A,Easy,Language Specific, TypeScript," typescript, file extension",1
33,Which keyword starts a goroutine in Go?,go, goroutine, thread, async,A,Medium,Language Specific, Go,"golang, concurrency",2
34, Which keyword is used to inherit a class in Java?,extends, implements, inherits,super,A,Easy,Object-Oriented Programming (OOP),Inheritance," java, oop",1
35, What is a correct way to declare a constant in JavaScript?, var PI = 3.14;, constant PI = 3.14;, let PI = 3.14;, const PI = 3.14;,D,Easy,Language Specific, JavaScript,"javascript, const",1
36, What annotation is used in Spring Boot to mark the main class?, @AppMain, @Start, @SpringApplication,@SpringBootApplication,D,Medium,Web Development, Spring Boot," springboot, annotations",2
37,"In Django, what is the default database engine?",PostgreSQL,SQLite, MySQL, MongoDB,B,Easy,Web Development, Django," django, database",1
38, Which symbol is used for single-line comments in C++?, #, //, --, %,B,Easy,Language Specific,C++,"cpp, comments",1
39, Which keyword declares a block-scoped variable in JavaScript?,var,let, const,define,B,Easy,Language Specific, JavaScript," javascript, variables",1
40, Which command builds a Docker image?, docker compile, docker build, docker make,docker run,B,Medium,Cloud, Docker," docker, build",2
41, Which HTML tag is used to define a table row?,<td>, <tr>,<th>, <row>,B,Easy,Web Development, HTML," html, tables",1
42, What annotation is used for dependency injection in Spring?,@Service, @Autowired, @Inject, @Resource,B,Medium,Web Development, Spring," spring, annotations",2
43,TypeScript is a superset of which language?, Java,JavaScript, Python, C#,B,Easy,Language Specific,TypeScript," typescript, javascript",1
44, What is the time complexity of binary search in a sorted array?, O(n), O(log n), O(n^2), O(1),B,Medium,Data Structures & Algorithms,Binary Search," binary search, time complexity",2
45, What annotation is used to define a Spring bean?, @Component, @Service,@Bean, @Repository,A,Medium,Web Development,Spring," spring, annotations",2
46,Which of the following is used to define a hyperlink in HTML?, <link>, <anchor>, <a>, <hyperlink>,C,Easy,Web Development, HTML," html, hyperlink",1
47, Which method is used to create a new instance of a model in Rails?, create(), new(), init(), add(),B,Easy,Web Development, Ruby on Rails," ruby, rails",1
48,"In Go, which of the following is used to create a new goroutine?", new(), go(), goroutine(), start(),B,Medium,Language Specific, Go," go, goroutines",2
49, What is the correct way to declare a variable in JavaScript?, var variable, let variable, const variable, All of the above,D,Easy,Language Specific,JavaScript,"javascript, variable",1
50, Which annotation is used to define a Spring Boot REST controller?, @Controller, @RestController, @Service, @Component,B,Medium,Web Development,Spring Boot," spring, rest, controller",2
51, How do you create a comment in HTML?, <!-- This is a comment -->, // This is a comment, /* This is a comment */, # This is a comment,A,Easy,Web Development, HTML," html, comment",1
52, Which annotation is used to mark a service in Spring?, @Service, @Controller, @Component,@Repository,A,Medium,Web Development, Spring Boot,"spring, service",2
53, Which of the following is used to define a class in C#?,class MyClass {},class MyClass() {}, MyClass class {}, MyClass: class {},A,Medium,Language Specific,C#," c#, class",2
54, Which of the following is used to create a model in Django?, class Model, class models.Model, models.create(),create.Model(),B,Medium,Web Development,Django,"django, model",2
55, What is the correct HTML tag for inserting an image?, <image>, <img>, <src>, <picture>,B,Easy,Web Development, HTML," html, image",1
56, What is the correct way to define a constructor in C++?,void MyClass() {},MyClass() {}, class MyClass() {}, MyClass constructor() {},B,Medium,Language Specific, C++," c++, constructor",2
57," In Rails, what command is used to generate a new controller?", rails generate controller, rails new controller, rails generate model, rails create controller,A,Medium,Web Development,Rails,"rails, controller",2
58,What is the correct annotation to define a REST controller in Spring Boot?,@RestController,@Controller, @Service, @Component,A,Medium,Web Development, Spring Boot," spring, rest, controller",2
59,What tag is used to create a hyperlink in HTML?, <link>, <a>, <href>, <url>,B,Easy,Web Development, HTML,"html, hyperlink",1
60,What is the purpose of the `callback()` function in JavaScript?,To handle asynchronous operations,To create a new object,To process JSON data,To execute synchronous code,A,Medium,Language Specific,JavaScript,"javascript, callback",2
61,"In Flask, what is the method to route a URL to a function?", @route(), @app.route(), @url.route(), @web.route(),B,Medium,Web Development, Flask," flask, route",2
62," In Ruby, how do you define a method?",def method_name, function method_name, method method_name, define method_name,A,Medium,Language Specific,Ruby,"ruby, method",2
63, Which annotation is used in Spring Boot to mark a method as a request handler for HTTP GET requests?, @RequestMapping,@GetMapping, @PostMapping, @RequestMethod,B,Medium,Web Development, Spring Boot," spring boot, get mapping",2
64,"Which HTML tag is used to create a hyperlink?,"," <a>,"," <link>,","<href>,","<url>,",A,Easy,Web Development," HTML,","HTML, Hyperlink",1
65,"Which of the following is not a JavaScript data type?,","String,","Boolean,","Float,","Undefined,",C,Medium,Language Specific,"JavaScript,","JavaScript, Data Types",2
66,"In OOP, which concept hides internal implementation?,"," Abstraction,","Inheritance,","Polymorphism,","Encapsulation,",A,Medium,Object-Oriented Programming (OOP)," Abstraction,"," OOP, Concepts",2
67,"Which SQL keyword is used to sort data?,"," GROUP BY,"," SORT BY,"," ORDER BY,","RANK,",C,Easy,Databases & SQL,"Sorting,","SQL, Query",1
68,"Which CSS property changes the text color?,","text-color,","font-color,","color,"," text-style,",C,Easy,Web Development," CSS,"," CSS, Styles",1
69,"What is the output of `2 + '2'` in JavaScript?,"," 4,",22,"Error,","NaN,",B,Medium,Language Specific,"JavaScript,","javascript, type-coercion",2
70,"What is a primary key in SQL?,","A key that can be null,"," A unique identifier for a table record,"," An encrypted field,","A foreign key reference,",B,Easy,Databases & SQL,"SQL Basics,","sql, database, keys",1
71,"What is the main purpose of Docker?,","Creating databases,","Containerizing applications,","Monitoring servers,","Encrypting networks,",B,Medium,Cloud," Docker,","docker, containers, devops",2
72,"Which command lists files in a Linux directory?,"," cd,"," ls,"," pwd,","mv,",B,Easy,General,"Linux,","linux, commands",1
73,"Which of these is not a Python data type?,"," List,"," Set,"," Array,","Tuple,",C,Medium,Language Specific," Python Basics,","python, data-types",2
74," What is the default port for MySQL?,","1433,","5432,","3306,","1521,",C,Easy,Databases & SQL,"MySQL Basics,"," sql, mysql",1
75," What is the command to initialize a Node.js project?,","npm install,","node init,","npm init,","init node,",C,Easy,General,"Node.js,"," node, npm",1
76,"Which sorting algorithm has the worst-case time complexity of O(n^2)?,","Merge Sort,","Quick Sort,"," Heap Sort,"," Bubble Sort,",D,Medium,Data Structures & Algorithms,"Sorting,","sorting, time-complexity",2
77, What is the correct CSS syntax to change the font size?, font-size:14px;, font=14px;,text-size=14;, fontsize:14;,A,Easy,Web Development, CSS,"css, style, frontend",1
78, What is the default port of a Spring Boot app?,3000,8080,8000,5000,B,Medium,Web Development,Spring Boot," spring, java, backend",2
79,What is the output of print(2 ** 3) in Python?,6,8,9,5,B,Easy,Language Specific,Python Basics,"python, operators",1
80,Which command initializes a Node.js project?,npm build, node init, npm init, node install,C,Easy,Web Development,Node.js," nodejs, npm",1
81,Which of these is a loop structure in C++?, do...until,loop(), for,foreach,C,Easy,Language Specific,Loops,"cpp, loops",1
82, What does 'use strict' do in JavaScript?, Enables ES6, Prevents undefined variables,Converts JS to strongly typed, Enables multithreading,B,Medium,Language Specific,JavaScript,"javascript, strict mode",2
83, What does ORM stand for in .NET?, Object Record Mapping, Object Relational Mapping,Object Response Model, Object Runtime Mapper,B,Medium,Databases & SQL, Entity Framework,"net, orm, entityframework",2
84,Flask is a ___ framework.,Full-stack,Backend,Frontend, CLI,B,Easy,Web Development,Flask," flask, python, web",1
85, Which file handles routing in Laravel?, web.php, route.php,routes.php, router.php,A,Medium,Web Development,Laravel,"laravel, routes",2
86, Which Kubernetes object is used to expose services?, ConfigMap,Deployment, Service, ReplicaSet,C,Medium,Cloud,Kubernetes," kubernetes, services",2
87,What does CSS stand for?, Color Style Sheets, Cascading Style Sheets,Computer Style Sheets,Creative Style Sheets,B,Easy,Web Development, CSS," css, styling",1
88,Which keyword is used to inherit a class in Java?,this,extends, implements,super,B,Easy,Object-Oriented Programming (OOP), Inheritance,"java, inheritance",1
89, What is the purpose of Redux middleware?,Replace reducers, Handle asynchronous logic,Replace Redux store,Create UI components,B,Medium,Web Development, Redux,"redux, middleware",2
90,"In Django models, which field is used for auto-incrementing IDs?", AutoField, IDField, AutoIncrement, CounterField,A,Medium,Databases & SQL, Django Models,"django, models",2
91, What is the purpose of Scene in JavaFX?, Handle files, Display UI elements, Control databases, Manage threads,B,Medium,Web Development, JavaFX,"javafx, ui",2
92,Which HTTP status code means Not Found?,200,301,404,500,C,Easy,Web Development,HTTP,"http, status codes",1
93,What does Entity Framework use to map objects to tables?,Controllers, Views, Models,ORM,D,Medium,Databases & SQL, Entity Framework,"ef, orm",2
94,What data structure does Python use for key-value pairs?, list,tuple,dictionary,set,C,Easy,Data Structures & Algorithms,Dictionaries,"python, dictionary",1
95,What command creates a new Angular component?, ng add component, ng generate component,ng create component,angular new component,B,Medium,Web Development, Angular,"angular, component",2
96, What file defines services in Kubernetes?, deploy.yaml, config.json, service.yaml, kube.yaml,C,Medium,Cloud,Kubernetes,"kubernetes, service",2
97, What is the output of 5 + 5 in Java?,10,55, Error,5,B,Medium,Language Specific,Java,"java, strings",2
98, Which React hook is used for managing side effects?,useRef,useEffect,useState, useMemo,B,Medium,Web Development, React Hooks," react, hooks",2
99, What AWS service is used for storing files?, EC2, RDS,S3, Lambda,C,Easy,Cloud, AWS,"aws, s3",1
100, What does ORM stand for?, Object Runtime Model, Object-Relational Mapping, Object Report Manager, Object-Route Mapper,B,Easy,Databases & SQL, ORM," orm, django",1
101, What command shows the Git commit history?, git status,git log, git show, git history,B,Easy,General,Git," git, log",1
102, What is the default port for MongoDB?,8080,3306,27017,5432,C,Medium,Databases & SQL, MongoDB,"mongodb, port",2
103, What is a Flask route decorator?, @route(), @app.route(), @web.route(), @flask.url(),B,Easy,Web Development, Flask," flask, routing",1
104, How do you apply bold in CSS?, font-style: bold;, text-decoration: bold;, font-weight: bold;, style: bold;,C,Easy,Web Development,CSS," css, font-weight",1
105, Which MySQL command shows all tables?,SHOW DATABASES;, LIST TABLES;, SHOW TABLES;, DESCRIBE ALL;,C,Easy,Databases & SQL, MySQL," mysql, show",1
106, What is the main building block of Angular apps?, Components, Templates, Modules, Services,A,Easy,Web Development, Angular,"angular, components",1
107, Which SQL keyword is used to sort the result set?, ORDER BY, SORT BY, GROUP BY, ALIGN BY,A,Easy,Databases & SQL,SQL,"sql, ordering",1
108, Which of the following is the default port for MySQL?,8080,3306,5432,27017,B,Easy,Databases & SQL, MySQL,"mysql, port",1
109,What is the CSS property used to change the text color?, text-color, font-color, color,text-style,C,Easy,Web Development, CSS," css, color",1
110,"In PostgreSQL, which command is used to remove a table?", DROP TABLE, DELETE TABLE, REMOVE TABLE, DELETE DATABASE,A,Easy,Databases & SQL, PostgreSQL,"postgres, drop table",1
111,What is the default DNS service used by Kubernetes?, CoreDNS, GoogleDNS,AWS Route 53, AzureDNS,A,Medium,Cloud, Kubernetes," kubernetes, dns",2
112, Which method is used to add a document to a MongoDB collection?,insert(), add(), save(), insertOne(),D,Medium,Databases & SQL,MongoDB,"mongodb, database",2
113, What is the default fetch type in JPA for relationships?, EAGER, LAZY, SELECT, JOIN,B,Medium,Databases & SQL, JPA,"jpa, relationships",2
114,What does the CSS `font-size` property do?, Changes the color of the text, Changes the size of the text, Changes the background color,Changes the font family,B,Easy,Web Development, CSS,"css, text size",1
115, Which SQL statement is used to delete a record from a table?,DELETE, REMOVE, TRUNCATE, DROP,A,Easy,Databases & SQL,SQL,"sql, delete",1
116, Which of the following is the default isolation level for SQL Server transactions?, SERIALIZABLE, READ COMMITTED, REPEATABLE READ,READ UNCOMMITTED,B,Medium,Databases & SQL, SQL Server,"sql server, isolation level",2
117," In Django, which command is used to apply migrations?", python manage.py runserver, python manage.py migrate, python manage.py apply, python manage.py update,B,Easy,Web Development, Django,"django, migration",1
118,Which CSS property is used to change the background color of an element?,color, background-color, background-image,bgcolor,B,Easy,Web Development, CSS," css, background color",1
119,"In C++, which of the following is used for dynamic memory allocation?",malloc(), free(), new, delete,C,Medium,Language Specific,C++,"c++, memory allocation",2
120, How do you define a foreign key in a Rails model?, has_many :foreign_key,belongs_to :foreign_key, has_foreign_key :foreign_key, foreign_key :belongs_to,B,Medium,Web Development, Rails," rails, foreign key",2
121, What is the default strategy for generating primary keys in Hibernate?, AUTO,SEQUENCE, IDENTITY,TABLE,A,Medium,Web Development,Hibernate," hibernate, primary key",2
122, Which property in CSS is used to change the font of text?, font-family, text-font, font-style, font-text,A,Easy,Web Development, CSS," css, font",1
123, Which method is used to add an element to the end of an array in JavaScript?, push(),pop(), shift(),unshift(),A,Medium,Language Specific, JavaScript," javascript, array",2
124, What is the purpose of SQLAlchemy in Flask?, To manage database connections and queries, To build the application interface,To deploy the application, To handle authentication,A,Medium,Web Development, Flask," flask, sqlalchemy",2
125," In Rails, what is the default database used?", SQLite, MySQL, PostgreSQL, MongoDB,A,Easy,Web Development,Rails," rails, sqlite",1
126,"In Java, which keyword is used to create a subclass?",extends,inherits, subclass,create,A,Easy,Language Specific, Java," java, inheritance",1
127,"Which data structure uses FIFO order?,","Stack,","Queue,","Heap,"," Graph,",B,Medium,Data Structures & Algorithms,"Queue,","DSA, Queue",2
128,"Which Python keyword is used for function declaration?,","function,"," define,"," func,"," def,",D,Easy,Language Specific,"Python,"," Python, Functions",1
129,"What HTTP method is used to update data?,"," GET,"," PUT,"," POST,","DELETE,",B,Medium,Web Development,"HTTP,","REST, Web",2
130,"Which Java collection allows duplicate elements?,","Set,","Map,","List,","TreeSet,",C,Medium,Data Structures & Algorithms,"Collections,","Java, Collections",2
131,"Which of these is used to define a variable in JavaScript (ES6)?,","int,"," let,","define,","var,",B,Medium,Language Specific,"JavaScript,"," JavaScript, Variables",2
132,"Which HTML tag is used for an unordered list?,"," <ol>,"," <ul>,","<li>,","<list>,",B,Easy,Web Development,"HTML,","html, lists",1
133,"Which Git command creates a copy of a remote repo locally?,","git pull,"," git push,"," git fork,","git clone,",D,Easy,General,"Git,","git, version-control",1
134," Which HTTP status code means Unauthorized?,","200,"," 403,","401,"," 500,",C,Easy,Web Development,"HTTP,","http, status-codes",1
135,"Which sorting algorithm has the best average time complexity?,","Bubble Sort,","Selection Sort,","Merge Sort,"," Insertion Sort,",C,Medium,Data Structures & Algorithms,"Sorting,"," sorting, algorithms",2
136,"Which tag is used to create a list in HTML?,","<list>,"," <ul>,"," <ol>,"," <li>,",B,Easy,Web Development,"HTML Tags,"," html, lists",1
137,"What does JVM stand for?,","Java Virtual Machine,","Java Visual Model,"," Java Volume Manager,"," Joint Virtual Memory,",A,Medium,Language Specific,"Java Basics,","java, jvm",2
138,"Which React hook is used to manage state?,"," useState,","useEffect,","useRef,","useMemo,",A,Medium,Web Development," React Hooks,","react, hooks",2
139," Which of the following is not a linear data structure?,","Stack,","Queue,"," Tree,"," Array,",C,Medium,Data Structures & Algorithms," Linear vs Non-Linear,","data structures, tree",2
140,Which keyword declares a JavaScript variable?,let,define,dim,int,A,Medium,Language Specific,JavaScript," javascript, variable",2
141,Which SQL statement is used to update data?, MODIFY, UPDATE, SET,ALTER,B,Medium,Databases & SQL, SQL Commands," sql, update, dml",2
142,What command is used to build a Docker image?,docker run ,docker build,docker image  ,docker make,B,Medium,Cloud,Docker," docker, containers, devops  ",2
143, What is a document in MongoDB?,Table, Column,JSON-like object, Field,C,Easy,Databases & SQL, MongoDB," mongodb, nosql",1
144, What is Git used for?,UI design,Version control,Database management, Code compilation,B,Easy,General,Git," git, version control",1
145,What module is used to create a web server in Node.js?,fs,http,net,os,B,Medium,Web Development,Node.js," nodejs, http, backend",2
146,Which Azure service provides serverless computing?,Azure VM,Azure Functions, Azure Blob, Azure SQL,B,Medium,Cloud, Azure,"azure, serverless",2
147, What symbol is used for comments in Python?,//, /*, #, %,C,Easy,Language Specific, Python Syntax," python, comments",1
148,Which MySQL command is used to create a table?, ADD TABLE, MAKE TABLE,CREATE TABLE,BUILD TABLE,C,Easy,Databases & SQL, SQL DDL,"mysql, create table",1
149, Which SQL clause is used to filter results?,SELECT, GROUP BY, WHERE, HAVING,C,Easy,Databases & SQL, SQL Filtering," postgresql, where",1
150, What is the correct syntax to include an external JavaScript file?, <script src=script.js>,<js link=script.js>,<javascript src=script.js>,<script href=script.js>,A,Easy,Web Development,JavaScript," javascript, external script",1
151, Which SQL command is used to remove a table?,REMOVE TABLE, DELETE TABLE, DROP TABLE,ERASE TABLE,C,Easy,Databases & SQL, SQL DDL," mysql, drop table",1
152, What does JSX stand for?, JavaScript XML, JavaScript Extension,JSON Style XML,JavaScript Syntax Extension,A,Easy,Web Development, React," jsx, react",1
153,Which Python statement is used to handle exceptions?, check, try-except,catch,error,B,Easy,Language Specific, Python," python, exception",1
154,Which SQL command updates existing data?, UPDATE, MODIFY,SET,EDIT,A,Easy,Databases & SQL, SQL DML," sql, update",1
155, Which MongoDB command inserts a new document?,insert(), add(), push(), insertOne(),D,Easy,Databases & SQL, MongoDB," mongodb, insert",1
156,What is the entry point of a .NET Core application?, Main(),Start(), Begin(), Launch(),A,Easy,General,.NET Core," dotnetcore, entry point",1
157, Which file stores database configuration in Flask?, app.py,config.py, main.py, settings.py,B,Medium,General, Flask,"flask, config",2
158, Firebase is primarily used for ___.,Data visualization, Mobile games, Backend services, Frontend design,C,Easy,Cloud, Firebase," firebase, backend",1
159, What command builds a Docker image?, docker run, docker build, docker start,docker create,B,Easy,Cloud,Docker," docker, build",1
160, Which SQL statement is used to extract data?, SELECT,GET, EXTRACT,READ,A,Easy,Databases & SQL,SQL Basics," sql, select",1
161, PostgreSQL is an example of ___?,NoSQL DB, In-Memory DB, Relational DB,Graph DB,C,Easy,Databases & SQL, PostgreSQL," postgresql, relational",1
162, What does REST stand for?,Random Execution of Simple Tasks, Representational State Transfer, Repeated External Service Testing, Remote Endpoint Service Technology,B,Easy,General, REST APIs,"rest, apis",1
163,What is a Django model?, A database controller, A Python class representing a table, A template file, A URL mapper,B,Easy,Web Development,Django Models,"django, models",1
164, What does ls command do in Linux?, Lists users,Lists files and directories, Logs out user, Starts shell,B,Easy,General, Linux," linux, commands",1
165, What does `res.send()` do in Express.js?, Sends file to client, Sends data as response, Logs response, Ends server,B,Medium,Web Development, Express.js," express, nodejs",2
166, What is the Dockerfile instruction to set base image?, START, IMAGE, FROM, BASE,C,Easy,Cloud, Docker,"docker, dockerfile",1
167, What does `git clone` do?, Copies code from remote repository,Deletes local repository, Backs up files, Commits changes,A,Easy,General, Git," git, clone",1
168, What is the return type of `save()` in Spring Data JPA?,void, List, Object, SavedEntity,C,Medium,Databases & SQL, Spring Data JPA," spring, jpa",2
169, What decorator defines a component in Angular?,@NgModule,@Service,@Component,@Injectable,C,Easy,Web Development, Angular," angular, decorators",1
170,Which of the following is the correct syntax for creating a function in Python?, def function():, function def():, func function():, create function():,A,Easy,Language Specific, Python Functions," python, functions",1
171, What is the purpose of the `@Entity` annotation in Hibernate?, To define a database table,To mark a class for persistence, To set the database connection,To create an index on the database,B,Medium,Databases & SQL, Hibernate," hibernate, annotations",2
172, Which JavaScript method is used to write data to the console?, console.print(), console.output(), console.log(),console.write(),C,Easy,Language Specific, JavaScript,"javascript, console",1
173,What is the purpose of the `bundle install` command in Rails?,Install Ruby gems, Install JavaScript dependencies, Initialize the database, Run migrations,A,Medium,Web Development,Ruby on Rails," rails, bundle",2
174, Which command is used to build a Docker image?, docker create, docker build, docker run, docker compile,B,Medium,Cloud, Docker,"docker, build",2
175,Which of the following methods is used to start a server in Node.js?, start(), listen(), server(), run(),B,Medium,Web Development, Node.js," node.js, server",2
176, How do you define a one-to-many relationship in JPA?, @ManyToOne, @OneToMany, @OneToOne, @ManyToMany,B,Medium,Databases & SQL,JPA,"jpa, relationships",2
177, Which of the following is used to define a variable in Python?, var x = 10, int x = 10,x = 10, let x = 10,C,Easy,Language Specific, Python," python, variable",1
178,How do you connect to a MySQL database in Java?, DriverManager.getConnection(), getConnection(), JDBC.connect(), Connection.connect(),A,Medium,Databases & SQL, MySQL," mysql, java",2
179,"In .NET, which method is used to read input from the console?", Console.Read(), Console.ReadLine(), Console.GetInput(), Console.Input(),B,Easy,Language Specific,.NET,".net, console",1
180,What is the purpose of the `filter()` method in Python?, To filter elements of a list based on a condition,To sort a list in ascending order, To join lists,To remove duplicate elements,A,Medium,Language Specific, Python," python, filter",2
181, Which of the following is used to select all elements with a class of 'box' in CSS?,.box, #box, *box, box{},A,Easy,Web Development, CSS,"css, class selector",1
182,"In MongoDB, which method is used to find documents in a collection?", find(), select(), get(), fetch(),A,Medium,Databases & SQL,MongoDB,"mongodb, find",2
183,What command is used to create a new table in PostgreSQL?,CREATE TABLE, NEW TABLE, ADD TABLE, INSERT TABLE,A,Easy,Databases & SQL,PostgreSQL," postgresql, create table",1
184, Which SQL command is used to retrieve data from a MySQL database?, SELECT, GET,FETCH, PULL,A,Easy,Databases & SQL, MySQL,"mysql, select",1
185, How do you write an if statement in JavaScript?,if i == 1 then, if (i == 1), if i = 1,if i equals 1,B,Medium,Language Specific, JavaScript,"javascript, if statement",2
186,"In Node.js, which module is used to work with the file system?", fs, file,system,nodefs,A,Medium,Web Development,Node.js," node.js, fs",2
187, How do you start a PostgreSQL server?, postgres -start,pg_start, sudo service postgresql start,start postgresql,C,Medium,Databases & SQL,PostgreSQL," postgresql, start server",2
188,"In PostgreSQL, how do you retrieve all rows from a table?", SELECT * FROM table_name;,GET * FROM table_name;, FETCH ALL FROM table_name;,SELECT ALL FROM table_name;,A,Easy,Databases & SQL, PostgreSQL,"postgresql, select",1
189,What is the correct SQL query to retrieve all columns from a table named 'employees'?, SELECT * FROM employees;, GET * FROM employees;,FETCH ALL FROM employees;,SELECT ALL FROM employees;,A,Easy,Databases & SQL, MySQL," mysql, select",1
190,"Which keyword is used to inherit a class in Java?,","this,","implements,"," extends,","inherits,",C,Medium,Object-Oriented Programming (OOP),"Inheritance,","OOP, Java",2
191," Python, Functions","7,","10,"," 9,","8,",A,Easy,Problem Solving,"Operator Precedence,"," Python, Math",1
192," Which C# keyword is used to create an interface?,","class,"," interface,"," implements,","struct,",B,Medium,Language Specific,"C#,","C#, Interfaces",2
193,"What is the primary use of useState in React?,","Routing,","Styling,","State Management,","API calls,",C,Medium,Web Development," React Hooks,"," React, Hooks",2
194,"What does DOM stand for?,","Document Object Model,","Data Object Model,","Display Object Model,"," Document Oriented Model,",A,Medium,Web Development," DOM,"," JavaScript, DOM",2
195," Which CSS property controls text size?,"," font-weight,","text-size,","font-size,","text-style,",C,Easy,Web Development,"CSS,","css, fonts, style",1
196,"Which HTTP method is used to update data?,"," GET,","DELETE,"," POST,","PUT,",D,Medium,Web Development," REST APIs,","http, rest, put",2
197,"Which AWS service provides object storage?,","EC2,"," Lambda,"," RDS,","S3,",D,Easy,Cloud," AWS,","aws, cloud, storage",1
198,"What does `git status` show?,","List of remote branches,"," Current branch and changes,"," Commits history,","Pull requests,",B,Easy,General,"Git,","git, commands",1
199," What symbol is used to start a comment in Python?,"," //,"," #,"," /*,","<!--,",B,Easy,Language Specific,"Python Syntax,"," python, comments",1
200,"Which SQL statement is used to remove data?,","REMOVE,","DELETE,","DROP,"," ERASE,",B,Medium,Databases & SQL,"SQL Queries,","sql, delete",2
201," Which of the following is a NoSQL database?,"," Oracle,","MySQL,","PostgreSQL,","MongoDB,",D,Medium,Databases & SQL,"NoSQL,","mongodb, nosql",2
202,"What is the output of sizeof(char) in C?,"," 1,"," 2,"," 4,"," 8,",A,Easy,Language Specific," C Basics,","c, memory",1
